–	barrennig verr
🚚	degas, karr-samm, karr-samm degas
🚛	sammgarr, sammgarr-ramoker
🚜	karbed, traktor
🏍️	karbed, marcʼh-tan
🛵	karbed, skouter
🛴	karbed, troterez
🛹	plankenn, plankenn-ruilh
🛼	botez, botez-ruilh
🚏	arsav, arsav bus, bus
🛣️	gourhent, hent
🛤️	hent-houarn, tren
🛢️	barilhad tireoul, tireoul
⛽️	plomenn, plomenn strilheoul, porzh-servij, strilheoul
🚨	karr, letern-tro, polis
⚓️	bag, eor, lestr
⛵️	bag, gouelier, lestr
🛶	bag, kanoe
🚤	bag, bag herrek, lestr
🛳️	lestr, mordreizher
⛴️	bag, lestr-treizh
🛥️	bag, bag-a-dan
🚢	bag, lestr
✈️	karr-nij, nijerez
🛩️	karr-nij, karr-nij bihan, nijerez
🪂	bolcʼhaskell, harz-lamm
💺	azezenn, kador
🚁	biñsaskell
🚟	fundren
🚠	fundren, fungarr, funitel, funlogell, menez
🚡	fundramgarr, fundren, fungarr, funitel, funlogell
🛰️	egor, loarell
🚀	egor, fuzeenn
🛸	NIDI, pladenn-nij
🛎️	kontouer, leti, sonerez, sonerez kontouer
🧳	bagaj, malizenn, pakad
⌛️	eurier, eurier-traezh, traezh
⌚️	eur, eurier, montr
⏰	alarm, dihuner, eur, eurier
⏱️	eur, eurier, kronometr
⏲️	eur, eurier, horolaj
🕰️	eur, eurier, pandulenn
🕛️	00, 12, 12:00, hanternoz, kreisteiz, kreisteiz/hanternoz
🕧	12:30, kreisteiz/hanternoz hanter
🕐️	1, 1:00, un eur
🕜	13:30, 1:30, un eur hanter
🕑️	14:00, 2, 2:00, div eur
🕝	14:30, 2:30, div eur hanter
🕒️	15:00, 3, 3:00, teir eur
🕞	15:30, 3:30, teir eur hanter
🕓️	16:00, 4, 4:00, peder eur
🕟	14:30, 4:30, peder eur hanter
🕔️	17:00, 5, 5:00, pemp eur
🕠	17:30, 5:30, pemp eur hanter
🕕️	18:00, 6, 6:00, cʼhwecʼh eur
🕡	18:30, 6:30, cʼhwecʼh eur hanter
🕖️	19:00, 7, 7:00, seizh eur
🕢	19:30, 7:30, seizh eur hanter
🕗️	20:00, 8, 8:00, eizh eur
🕣	20:30, 8:30, eizh eur hanter
🕘️	21:00, 9, 9:00, eizh eur, nav eur
🕤	21:30, 9:30, nav eur hanter
🕙️	10, 10:00, 22:00, dek eur
🕥	10:30, 22:30, dek eur hanter
🕚️	11, 11:00, 23:00, unnek eur
🕦	11:30, 23:30, unnek eur hanter
🌑	loar, loar nevez
🌒	loar, loar vihan ar cʼhresk
🌓	hanterloar, hanterloar ar cʼhresk, loar
🌔	loar, loar vras ar c’hresk
🌕️	loar, loargann
🌖	loar, loar vras an digresk
🌗	hanterloar, hanterloar an digresk, loar
🌘	loar, loar vihan an digresk
🌙	kreskenn, kreskenn loar, loar
🌚	loar, penn, penn loar nevez
🌛	loar, penn, penn loar vihan ar cʼhresk
🌜️	loar, penn, penn loar vihan an digresk
🌡️	amzer, gwerzverker
☀️	heol, skin
🌝	loar, loargann, penn, penn loargann
🌞	heol, penn heol, skin
🪐	Sadorn, gwalenn, planedenn, planedenn gant gwalennoù
⭐️	steredenn
🌟	steredenn, steredenn skedus
🌠	steredenn, steredenn-dared
🌌	Hent-sant-Jakez, egor
☁️	amzer, koumoulenn
⛅️	heol, heol a-dreñv dʼar cʼhoumoul, koumoul
⛈️	glav, koumoul, koumoulenn gant lucʼhedenn ha glav, lucʼhed
🌤️	heol, heol a-dreñv dʼur goumoulennig, koumoul
🌥️	heol, heol a-dreñv dʼur goumoulenn vras, koumoul
🌦️	heol, heol a-dreñv dʼur goumoulenn cʼhlav, koumoul
🌧️	glav, koumoul, koumoulenn gant glav
🌨️	ercʼh, koumoul, koumoulenn gant ercʼh
🌩️	koumoul, koumoulenn gant lucʼhedenn, lucʼhedenn
🌪️	koumoul, tornadenn
🌫️	koumoul, latar
🌀	kelcʼhwidenn, tifon
🌈	glav, kanevedenn
🌂	disglavier, disglavier serr, glav
☂️	disglavier, glav
☔️	disglavier, disglavier gant glav, glav
⛱️	disglavier, disheolier, glav, heol
⚡️	tredan, tredanvarr uhel
❄️	ercʼh, malzenn, malzenn ercʼh
☃️	boulom, boulom ercʼh gant ercʼh, ercʼh
⛄️	boulom, boulom ercʼh hep ercʼh, ercʼh
☄️	egor, kometenn
🔥	flammenn, tan
💧	cʼhwez, dour, takenn
🌊	gwagenn, meurvor, mor
🎃	fest, gouel, halloween, jack-oʼ-lantern, letern, lid, sitrouilhez
🎄	Nedeleg, fest, gouel, gwezenn, gwezenn Nedeleg, lid
🎆	fest, gouel, lid, tan, tan-arvest
🎇	fest, gouel, lid, piled-hud, tan-arvest
🧨	dinamit, strakerez, tarzhañ
✨	*, fulennoù, steredenn
🎈	cʼhwezigell, fest, gouel
🎉	fest, gouel, kotilhon, lid
🎊	fest, gouel, koñfeti, lid
🎋	fest, gouel, gwez-hetoù, lid
🎍	bambouz, kadomatsu
🎎	fest, gouel, lid, poupinell, poupinelloù japanat
🎏	fest, gouel, karpenn, koinobori
🎐	fest, gouel, karilhon-avel, klocʼh, lid, son
🎑	fest, gouel, lid, lid al loar, loar
🧧	arcʼhant, chañs vat, golo ruz
🎀	fest, gouel, seizenn
🎁	fest, gouel, prof, seizenn
🎗️	fest, gouel, seizenn-goun
🎟️	bilhed, bilhed mont e-barzh
🎫	arvest, bilhed
🎖️	medalenn, medalenn vilourel
🏆️	priz, trofe
🏅	medalenn, medalenn sport
🥇	aour, medalenn, medalenn aour
🥈	medalenn, medalenn arcʼhant
🥉	medalenn, medalenn arem
⚽️	mell, mell fobal
⚾️	baseball, polotenn
🥎	polotenn, softball
🏀	basket-ball, mell
🏐	mell, volley-ball
🏈	amerikan, fobal, fobal amerikan, mell
🏉	mell, rugbi
🎾	polotenn, tennis
🥏	frizbi, sport
🎳	boul, bowling
🏏	kriked, krogad, match, sport
🏑	hoke war leton, sport
🏒	hoke war skorn, sport
🥍	bazh-horell, cʼhoari-horell, horell
🏓	paliked, ping pong, polotenn, tennis-taol
🏸	badminton, paliked, skobitell
🥊	boks, maneg, maneg boks
🥋	dilhad arzoù-emgannañ, judo, karate, taekwondo
🥅	kaoued, kaoued-pal, pal
⛳️	bannielig, bannielig golf, golf
⛸️	botez-ruzikat, skorn
🎣	lazheta, pesketa
🤿	maskl-splujañ, splujañ, tuba
🎽	krez, krez redek, redek
🎿	ercʼh, ski
