_	Unterstrich
🆗	Grossbuchstaben OK in blauem Quadrat, OK
🅿️	Grossbuchstabe P in Quadrat, Parkplatz, Quadrat
🆚	Grossbuchstaben VS in orangefarbenem Quadrat, VS, versus
🔴	Ball, Grosser roter Kreis, Kreis, rot
🔵	Ball, Grosser blauer Kreis, Kreis, blau
⚫️	Ball, Grosser schwarzer Kreis, Kreis, schwarz
⚪️	Ball, Grosser weisser Kreis, Kreis, weiss
⬛️	Grosses schwarzes Quadrat, Quadrat, schwarz
⬜️	Grosses weisses Quadrat, Quadrat, weiss
◼️	Mittelgrosses schwarzes Quadrat, Quadrat, schwarz
◻️	Mittelgrosses weisses Quadrat, Quadrat, weiss
◽️	Mittelkleines weisses Quadrat, Quadrat, weiss
▫️	Kleines weisses Quadrat, Quadrat, weiss
🔶	Grosse orangefarbene Raute, Raute, orangefarben
🔷	Grosse blaue Raute, Raute, blau
🔳	Schaltfläche, Weisse quadratische Schaltfläche, quadratisch, weiss
🏳️	Fahne, Wehende weisse Fahne, wehen, weisse Fahne
🏳‍⚧	Flagge, Transgender, Transgenderflagge, hellblau, pink, weiss
🇧🇳	Flagge: Brunei
🇧🇼	Flagge: Botswana
🇨🇻	Flagge: Kapverden
🇬🇧	Flagge: Grossbritannien
🇸🇧	Flagge: Salomon-Inseln
🇹🇱	Flagge: Osttimor
🇿🇼	Flagge: Zimbabwe
$	Dollar, Dollarzeichen, Geld, Peso, USD
µ	Masseinheit, Mikro-Zeichen, My
