،	arabic, arabic comma, comma
👆🏿	backhand, dark skin, finger, hand, oopar point karti index finger dikhaate haath ki back side, oopar point karti index finger dikhaate haath ki back side: dark skin, point, up
🖕🏻	Fair skin, finger, hand, middle finger, middle finger: Fair skin
🖕🏼	finger, hand, medium-fair skin, middle finger, middle finger: medium-fair skin
🖕🏽	finger, hand, medium skin, middle finger, middle finger: medium skin
🖕🏾	finger, hand, medium-dark skin, middle finger, middle finger: medium-dark skin
🖕🏿	dark skin, finger, hand, middle finger, middle finger: dark skin
👇️	backhand, down, finger, hand, neeche point karti index finger dikhaate haath ki back side, point
👇🏻	Fair skin, backhand, down, finger, hand, neeche point karti index finger dikhaate haath ki back side, neeche point karti index finger dikhaate haath ki back side: Fair skin, point
👇🏼	backhand, down, finger, hand, medium-fair skin, neeche point karti index finger dikhaate haath ki back side, neeche point karti index finger dikhaate haath ki back side: medium-fair skin, point
👇🏽	backhand, down, finger, hand, medium skin, neeche point karti index finger dikhaate haath ki back side, neeche point karti index finger dikhaate haath ki back side: medium skin, point
👇🏾	backhand, down, finger, hand, medium-dark skin, neeche point karti index finger dikhaate haath ki back side, neeche point karti index finger dikhaate haath ki back side: medium-dark skin, point
👇🏿	backhand, dark skin, down, finger, hand, neeche point karti index finger dikhaate haath ki back side, neeche point karti index finger dikhaate haath ki back side: dark skin, point
☝️	finger, hand, index, oopar point karti index finger, point, up
☝🏻	Fair skin, finger, hand, index, oopar point karti index finger, oopar point karti index finger: Fair skin, point, up
☝🏼	finger, hand, index, medium-fair skin, oopar point karti index finger, oopar point karti index finger: medium-fair skin, point, up
☝🏽	finger, hand, index, medium skin, oopar point karti index finger, oopar point karti index finger: medium skin, point, up
☝🏾	finger, hand, index, medium-dark skin, oopar point karti index finger, oopar point karti index finger: medium-dark skin, point, up
☝🏿	dark skin, finger, hand, index, oopar point karti index finger, oopar point karti index finger: dark skin, point, up
🫵	aap, viewer ki taraf pont karti index finger
🫵🏻	Fair skin, aap, viewer ki taraf pont karti index finger, viewer ki taraf pont karti index finger: Fair skin
🫵🏼	aap, medium-fair skin, viewer ki taraf pont karti index finger, viewer ki taraf pont karti index finger: medium-fair skin
🫵🏽	aap, medium skin, viewer ki taraf pont karti index finger, viewer ki taraf pont karti index finger: medium skin
🫵🏾	aap, medium-dark skin, viewer ki taraf pont karti index finger, viewer ki taraf pont karti index finger: medium-dark skin
🫵🏿	aap, dark skin, viewer ki taraf pont karti index finger, viewer ki taraf pont karti index finger: dark skin
👍🏻	+1, Fair skin, hand, thumb, thumbs up, thumbs up: Fair skin, up
👍🏼	+1, hand, medium-fair skin, thumb, thumbs up, thumbs up: medium-fair skin, up
👍🏽	+1, hand, medium skin, thumb, thumbs up, thumbs up: medium skin, up
👍🏾	+1, hand, medium-dark skin, thumb, thumbs up, thumbs up: medium-dark skin, up
👍🏿	+1, dark skin, hand, thumb, thumbs up, thumbs up: dark skin, up
👎🏻	-1, Fair skin, down, hand, thumb, thumbs down, thumbs down: Fair skin
👎🏼	-1, down, hand, medium-fair skin, thumb, thumbs down, thumbs down: medium-fair skin
👎🏽	-1, down, hand, medium skin, thumb, thumbs down, thumbs down: medium skin
👎🏾	-1, down, hand, medium-dark skin, thumb, thumbs down, thumbs down: medium-dark skin
👎🏿	-1, dark skin, down, hand, thumb, thumbs down, thumbs down: dark skin
✊🏻	Fair skin, clenched, fist, hand, punch, raised fist, raised fist: Fair skin
✊🏼	clenched, fist, hand, medium-fair skin, punch, raised fist, raised fist: medium-fair skin
✊🏽	clenched, fist, hand, medium skin, punch, raised fist, raised fist: medium skin
✊🏾	clenched, fist, hand, medium-dark skin, punch, raised fist, raised fist: medium-dark skin
✊🏿	clenched, dark skin, fist, hand, punch, raised fist, raised fist: dark skin
👊🏻	Fair skin, clenched, fist, hand, oncoming fist, oncoming fist: Fair skin, punch
👊🏼	clenched, fist, hand, medium-fair skin, oncoming fist, oncoming fist: medium-fair skin, punch
👊🏽	clenched, fist, hand, medium skin, oncoming fist, oncoming fist: medium skin, punch
👊🏾	clenched, fist, hand, medium-dark skin, oncoming fist, oncoming fist: medium-dark skin, punch
👊🏿	clenched, dark skin, fist, hand, oncoming fist, oncoming fist: dark skin, punch
🤛🏻	Fair skin, fist, left-facing fist, left-facing fist: Fair skin, leftwards
🤛🏼	fist, left-facing fist, left-facing fist: medium-fair skin, leftwards, medium-fair skin
🤛🏽	fist, left-facing fist, left-facing fist: medium skin, leftwards, medium skin
🤛🏾	fist, left-facing fist, left-facing fist: medium-dark skin, leftwards, medium-dark skin
🤛🏿	dark skin, fist, left-facing fist, left-facing fist: dark skin, leftwards
🤜🏻	Fair skin, fist, right-facing fist, right-facing fist: Fair skin, rightwards
🤜🏼	fist, medium-fair skin, right-facing fist, right-facing fist: medium-fair skin, rightwards
🤜🏽	fist, medium skin, right-facing fist, right-facing fist: medium skin, rightwards
