‾	kan layi
💔	karyayyiyar zuciya, karye, karyeyye
❤️	jar zuciya, zuciya
🧡	ruwan goro, zuciyar na ruwan goro
💛	rawaya, rawayan zuciya
💚	kore, koren zuciya
💙	shuɗi, shuɗin zuciya
💜	algashi, algashin zuciya, zuciya algashi
🤎	zuciya, zuciya ƙasa-ƙasa, ƙasa-ƙasa
🖤	baƙar zuciya, baƙi, mugu, sharri
🤍	farar, farar zuciya, zuciya
💋	alamar sumba, leɓuna, sumba
💯	100, cikakke, maki, makunan ɗari, ɗari
💢	alamar fushi, fushi, haushi, mai ban dariya
💥	boom, karo, mai ban dariya
💫	jiri, mai ban dariya, tauraro
💦	fantsama, gumi, mai ban dariya, ɗige-ɗigen gumi
💨	gudu, gudu mai sauri, mai ban dariya, yin gudu
🕳️	rami
💬	balan-balan, balan-balan magana, kumfa, magana, mai ban dariya, zance
👁‍🗨	ido, ido a cikin kumfan magana, kumfan magana, mai shaida
🗨️	kumfan magana na hagu, magana, zance
🗯️	balan-balan, fushi, haushi, kumfa, kumfan fushi na dama
💭	balan-balan, balan-balan tunani, kumfa, mai ban dariya, tunani
💤	alamar zzz, barci, mai ban dariya, zzz
👋	hannu, hannu mai wurgawa, wurga, wurgawa
👋🏻	hannu, hannu mai wurgawa, hannu mai wurgawa: launin fata mai haske, launin fata mai haske, wurga, wurgawa
👋🏼	hannu, hannu mai wurgawa, hannu mai wurgawa: launin fata mai madaidaicin haske, launin fata mai madaidaicin haske, wurga, wurgawa
👋🏽	hannu, hannu mai wurgawa, hannu mai wurgawa: madaidaicin launin fata, madaidaicin launin fata, wurga, wurgawa
👋🏾	hannu, hannu mai wurgawa, hannu mai wurgawa: launin fata mai madaidaicin duhu, launin fata mai madaidaicin duhu, wurga, wurgawa
👋🏿	hannu, hannu mai wurgawa, hannu mai wurgawa: launin fata mai duhu, launin fata mai duhu, wurga, wurgawa
🤚	bayan hannu, ɗagagge, ɗagaggen bayan hannu
🤚🏻	bayan hannu, launin fata mai haske, ɗagagge, ɗagaggen bayan hannu, ɗagaggen bayan hannu: launin fata mai haske
🤚🏼	bayan hannu, launin fata mai madaidaicin haske, ɗagagge, ɗagaggen bayan hannu, ɗagaggen bayan hannu: launin fata mai madaidaicin haske
🤚🏽	bayan hannu, madaidaicin launin fata, ɗagagge, ɗagaggen bayan hannu, ɗagaggen bayan hannu: madaidaicin launin fata
🤚🏾	bayan hannu, launin fata mai madaidaicin duhu, ɗagagge, ɗagaggen bayan hannu, ɗagaggen bayan hannu: launin fata mai madaidaicin duhu
🤚🏿	bayan hannu, launin fata mai duhu, ɗagagge, ɗagaggen bayan hannu, ɗagaggen bayan hannu: launin fata mai duhu
🖐️	faɗaɗa hannu, hannu, yatsa, ɗagaggen hannu tare da yatsa a faɗaɗɗe
🖐🏻	faɗaɗa hannu, hannu, launin fata mai haske, yatsa, ɗagaggen hannu tare da yatsa a faɗaɗɗe, ɗagaggen hannu tare da yatsa a faɗaɗɗe: launin fata mai haske
🖐🏼	faɗaɗa hannu, hannu, launin fata mai madaidaicin haske, yatsa, ɗagaggen hannu tare da yatsa a faɗaɗɗe, ɗagaggen hannu tare da yatsa a faɗaɗɗe: launin fata mai madaidaicin haske
🖐🏽	faɗaɗa hannu, hannu, madaidaicin launin fata, yatsa, ɗagaggen hannu tare da yatsa a faɗaɗɗe, ɗagaggen hannu tare da yatsa a faɗaɗɗe: madaidaicin launin fata
