🦵🏻	ben, ben: lys teint, halte, humpe, lys teint, sparke
☝🏾	finger, hånd, krop, medium til mørk teint, op, opadvendt, pege, pegefinger, rækker finger op, rækker finger op: medium til mørk teint
☝🏿	finger, hånd, krop, mørk teint, op, opadvendt, pege, pegefinger, rækker finger op, rækker finger op: mørk teint
👆🏻	finger, finger peger op, lys teint, pegefinger, peger op, peger opad, peger opad: lys teint
👆🏼	finger, finger peger op, medium til lys teint, pegefinger, peger op, peger opad, peger opad: medium til lys teint
👆🏽	finger, finger peger op, medium teint, pegefinger, peger op, peger opad, peger opad: medium teint
👆🏾	finger, finger peger op, medium til mørk teint, pegefinger, peger op, peger opad, peger opad: medium til mørk teint
👆🏿	finger, finger peger op, mørk teint, pegefinger, peger op, peger opad, peger opad: mørk teint
🖕🏻	finger, hånd, krop, langefinger, langefinger: lys teint, lys teint
🖕🏼	finger, hånd, krop, langefinger, langefinger: medium til lys teint, medium til lys teint
🖕🏽	finger, hånd, krop, langefinger, langefinger: medium teint, medium teint
🖕🏾	finger, hånd, krop, langefinger, langefinger: medium til mørk teint, medium til mørk teint
🖕🏿	finger, hånd, krop, langefinger, langefinger: mørk teint, mørk teint
👇🏻	finger, finger peger ned, lys teint, pegefinger, peger ned, peger nedad, peger nedad: lys teint
👇🏼	finger, finger peger ned, medium til lys teint, pegefinger, peger ned, peger nedad, peger nedad: medium til lys teint
👇🏽	finger, finger peger ned, medium teint, pegefinger, peger ned, peger nedad, peger nedad: medium teint
👇🏾	finger, finger peger ned, medium til mørk teint, pegefinger, peger ned, peger nedad, peger nedad: medium til mørk teint
👇🏿	finger, finger peger ned, mørk teint, pegefinger, peger ned, peger nedad, peger nedad: mørk teint
✌🏻	V-tegn, lys teint, v-tegn, v-tegn: lys teint, yeah
✌🏼	V-tegn, medium til lys teint, v-tegn, v-tegn: medium til lys teint, yeah
✌🏽	V-tegn, medium teint, v-tegn, v-tegn: medium teint, yeah
✌🏾	V-tegn, medium til mørk teint, v-tegn, v-tegn: medium til mørk teint, yeah
✌🏿	V-tegn, mørk teint, v-tegn, v-tegn: mørk teint, yeah
🤞🏻	finger, held og lykke, håb, hånd, krop, krydsede fingre, krydsede fingre: lys teint, krydser fingre, lys teint
🤞🏼	finger, held og lykke, håb, hånd, krop, krydsede fingre, krydsede fingre: medium til lys teint, krydser fingre, medium til lys teint
🤞🏽	finger, held og lykke, håb, hånd, krop, krydsede fingre, krydsede fingre: medium teint, krydser fingre, medium teint
🤞🏾	finger, held og lykke, håb, hånd, krop, krydsede fingre, krydsede fingre: medium til mørk teint, krydser fingre, medium til mørk teint
🤞🏿	finger, held og lykke, håb, hånd, krop, krydsede fingre, krydsede fingre: mørk teint, krydser fingre, mørk teint
🖖🏻	finger, hånd, krop, lys teint, spock, vulcan, vulcan-hilsen, vulcan-hilsen: lys teint
🖖🏼	finger, hånd, krop, medium til lys teint, spock, vulcan, vulcan-hilsen, vulcan-hilsen: medium til lys teint
🖖🏽	finger, hånd, krop, medium teint, spock, vulcan, vulcan-hilsen, vulcan-hilsen: medium teint
🖖🏾	finger, hånd, krop, medium til mørk teint, spock, vulcan, vulcan-hilsen, vulcan-hilsen: medium til mørk teint
🖖🏿	finger, hånd, krop, mørk teint, spock, vulcan, vulcan-hilsen, vulcan-hilsen: mørk teint
🤘🏻	djævletegn, djævletegn: lys teint, finger, heavy metal, horn, hånd, krop, lys teint, metal, rock
🤘🏼	djævletegn, djævletegn: medium til lys teint, finger, heavy metal, horn, hånd, krop, medium til lys teint, metal, rock
🤘🏽	djævletegn, djævletegn: medium teint, finger, heavy metal, horn, hånd, krop, medium teint, metal, rock
🤘🏾	djævletegn, djævletegn: medium til mørk teint, finger, heavy metal, horn, hånd, krop, medium til mørk teint, metal, rock
🤘🏿	djævletegn, djævletegn: mørk teint, finger, heavy metal, horn, hånd, krop, metal, mørk teint, rock
🤙🏻	hånd, krop, lys teint, opringning, ring til mig-hånd, ring til mig-hånd: lys teint, ringer, telefonhånd
🤙🏼	hånd, krop, medium til lys teint, opringning, ring til mig-hånd, ring til mig-hånd: medium til lys teint, ringer, telefonhånd
🤙🏽	hånd, krop, medium teint, opringning, ring til mig-hånd, ring til mig-hånd: medium teint, ringer, telefonhånd
🤙🏾	hånd, krop, medium til mørk teint, opringning, ring til mig-hånd, ring til mig-hånd: medium til mørk teint, ringer, telefonhånd
🤙🏿	hånd, krop, mørk teint, opringning, ring til mig-hånd, ring til mig-hånd: mørk teint, ringer, telefonhånd
🖐🏻	finger, hånd, hånd med spredte fingre, hånd med spredte fingre: lys teint, krop, lys teint, spredte
🖐🏼	finger, hånd, hånd med spredte fingre, hånd med spredte fingre: medium til lys teint, krop, medium til lys teint, spredte
🖐🏽	finger, hånd, hånd med spredte fingre, hånd med spredte fingre: medium teint, krop, medium teint, spredte
🖐🏾	finger, hånd, hånd med spredte fingre, hånd med spredte fingre: medium til mørk teint, krop, medium til mørk teint, spredte
🖐🏿	finger, hånd, hånd med spredte fingre, hånd med spredte fingre: mørk teint, krop, mørk teint, spredte
✋🏻	hånd, krop, lys teint, løftet hånd, løftet hånd: lys teint
✋🏼	hånd, krop, løftet hånd, løftet hånd: medium til lys teint, medium til lys teint
✋🏽	hånd, krop, løftet hånd, løftet hånd: medium teint, medium teint
✋🏾	hånd, krop, løftet hånd, løftet hånd: medium til mørk teint, medium til mørk teint
✋🏿	hånd, krop, løftet hånd, løftet hånd: mørk teint, mørk teint
👌🏻	OK-håndtegn, OK-tegn, lys teint, ok-tegn, ok-tegn: lys teint
👌🏼	OK-håndtegn, OK-tegn, medium til lys teint, ok-tegn, ok-tegn: medium til lys teint
👌🏽	OK-håndtegn, OK-tegn, medium teint, ok-tegn, ok-tegn: medium teint
👌🏾	OK-håndtegn, OK-tegn, medium til mørk teint, ok-tegn, ok-tegn: medium til mørk teint
👌🏿	OK-håndtegn, OK-tegn, mørk teint, ok-tegn, ok-tegn: mørk teint
👍🏻	håndtegn, lys teint, tommelfinger op, tommelfinger op: lys teint
👍🏼	håndtegn, medium til lys teint, tommelfinger op, tommelfinger op: medium til lys teint
👍🏽	håndtegn, medium teint, tommelfinger op, tommelfinger op: medium teint
👍🏾	håndtegn, medium til mørk teint, tommelfinger op, tommelfinger op: medium til mørk teint
👍🏿	håndtegn, mørk teint, tommelfinger op, tommelfinger op: mørk teint
👎🏻	håndtegn, lys teint, tommelfinger ned, tommelfinger ned: lys teint
👎🏼	håndtegn, medium til lys teint, tommelfinger ned, tommelfinger ned: medium til lys teint
👎🏽	håndtegn, medium teint, tommelfinger ned, tommelfinger ned: medium teint
👎🏾	håndtegn, medium til mørk teint, tommelfinger ned, tommelfinger ned: medium til mørk teint
👎🏿	håndtegn, mørk teint, tommelfinger ned, tommelfinger ned: mørk teint
✊🏻	hånd, knytnæve, knyttet, krop, lys teint, løftet knytnæve, løftet knytnæve: lys teint, slå
✊🏼	hånd, knytnæve, knyttet, krop, løftet knytnæve, løftet knytnæve: medium til lys teint, medium til lys teint, slå
✊🏽	hånd, knytnæve, knyttet, krop, løftet knytnæve, løftet knytnæve: medium teint, medium teint, slå
✊🏾	hånd, knytnæve, knyttet, krop, løftet knytnæve, løftet knytnæve: medium til mørk teint, medium til mørk teint, slå
✊🏿	hånd, knytnæve, knyttet, krop, løftet knytnæve, løftet knytnæve: mørk teint, mørk teint, slå
👊🏻	hånd, knytnæve, knytnæve: lys teint, knyttet hånd, lys teint
👊🏼	hånd, knytnæve, knytnæve: medium til lys teint, knyttet hånd, medium til lys teint
👊🏽	hånd, knytnæve, knytnæve: medium teint, knyttet hånd, medium teint
👊🏾	hånd, knytnæve, knytnæve: medium til mørk teint, knyttet hånd, medium til mørk teint
👊🏿	hånd, knytnæve, knytnæve: mørk teint, knyttet hånd, mørk teint
🤛🏻	hånd, hånd knyttet mod venstre, knytnæve, knyttet hånd, krop, lys teint, venstre, venstrevendt, venstrevendt knytnæve: lys teint
🤛🏼	hånd, hånd knyttet mod venstre, knytnæve, knyttet hånd, krop, medium til lys teint, venstre, venstrevendt, venstrevendt knytnæve: medium til lys teint
🤛🏽	hånd, hånd knyttet mod venstre, knytnæve, knyttet hånd, krop, medium teint, venstre, venstrevendt, venstrevendt knytnæve: medium teint
🤛🏾	hånd, hånd knyttet mod venstre, knytnæve, knyttet hånd, krop, medium til mørk teint, venstre, venstrevendt, venstrevendt knytnæve: medium til mørk teint
🤛🏿	hånd, hånd knyttet mod venstre, knytnæve, knyttet hånd, krop, mørk teint, venstre, venstrevendt, venstrevendt knytnæve: mørk teint
🤜🏻	hånd, hånd knyttet mod højre, højre, højrevendt, højrevendt knytnæve: lys teint, knytnæve, knyttet hånd, krop, lys teint
🤜🏼	hånd, hånd knyttet mod højre, højre, højrevendt, højrevendt knytnæve: medium til lys teint, knytnæve, knyttet hånd, krop, medium til lys teint
🤜🏽	hånd, hånd knyttet mod højre, højre, højrevendt, højrevendt knytnæve: medium teint, knytnæve, knyttet hånd, krop, medium teint
🤜🏾	hånd, hånd knyttet mod højre, højre, højrevendt, højrevendt knytnæve: medium til mørk teint, knytnæve, knyttet hånd, krop, medium til mørk teint
🤜🏿	hånd, hånd knyttet mod højre, højre, højrevendt, højrevendt knytnæve: mørk teint, knytnæve, knyttet hånd, krop, mørk teint
🤚🏻	baghånd, hånd, krop, lys teint, løftet, løftet baghånd: lys teint
🤚🏼	baghånd, hånd, krop, løftet, løftet baghånd: medium til lys teint, medium til lys teint
🤚🏽	baghånd, hånd, krop, løftet, løftet baghånd: medium teint, medium teint
🤚🏾	baghånd, hånd, krop, løftet, løftet baghånd: medium til mørk teint, medium til mørk teint
🤚🏿	baghånd, hånd, krop, løftet, løftet baghånd: mørk teint, mørk teint
👋🏻	hånd, lys teint, vinker, vinker: lys teint
👋🏼	hånd, medium til lys teint, vinker, vinker: medium til lys teint
👋🏽	hånd, medium teint, vinker, vinker: medium teint
👋🏾	hånd, medium til mørk teint, vinker, vinker: medium til mørk teint
👋🏿	hånd, mørk teint, vinker, vinker: mørk teint
🤟🏻	Elsker dig, Hånd, elsker dig-gestus, elsker dig-gestus: lys teint, lys teint
🤟🏼	Elsker dig, Hånd, elsker dig-gestus, elsker dig-gestus: medium til lys teint, medium til lys teint
🤟🏽	Elsker dig, Hånd, elsker dig-gestus, elsker dig-gestus: medium teint, medium teint
🤟🏾	Elsker dig, Hånd, elsker dig-gestus, elsker dig-gestus: medium til mørk teint, medium til mørk teint
🤟🏿	Elsker dig, Hånd, elsker dig-gestus, elsker dig-gestus: mørk teint, mørk teint
✍🏻	hånd, krop, lys teint, skrive, skrivende hånd, skrivende hånd: lys teint
✍🏼	hånd, krop, medium til lys teint, skrive, skrivende hånd, skrivende hånd: medium til lys teint
✍🏽	hånd, krop, medium teint, skrive, skrivende hånd, skrivende hånd: medium teint
✍🏾	hånd, krop, medium til mørk teint, skrive, skrivende hånd, skrivende hånd: medium til mørk teint
✍🏿	hånd, krop, mørk teint, skrive, skrivende hånd, skrivende hånd: mørk teint
👏🏻	håndtegn, klappende hænder, klappende hænder: lys teint, klapper, lys teint
👏🏼	håndtegn, klappende hænder, klappende hænder: medium til lys teint, klapper, medium til lys teint
👏🏽	håndtegn, klappende hænder, klappende hænder: medium teint, klapper, medium teint
👏🏾	håndtegn, klappende hænder, klappende hænder: medium til mørk teint, klapper, medium til mørk teint
👏🏿	håndtegn, klappende hænder, klappende hænder: mørk teint, klapper, mørk teint
👐🏻	håndtegn, lys teint, åbne hænder, åbne hænder-tegn, åbne hænder: lys teint
👐🏼	håndtegn, medium til lys teint, åbne hænder, åbne hænder-tegn, åbne hænder: medium til lys teint
👐🏽	håndtegn, medium teint, åbne hænder, åbne hænder-tegn, åbne hænder: medium teint
👐🏾	håndtegn, medium til mørk teint, åbne hænder, åbne hænder-tegn, åbne hænder: medium til mørk teint
👐🏿	håndtegn, mørk teint, åbne hænder, åbne hænder-tegn, åbne hænder: mørk teint
🙌🏻	begge hænder oppe, hurra, hurra: lys teint, lys teint
🙌🏼	begge hænder oppe, hurra, hurra: medium til lys teint, medium til lys teint
🙌🏽	begge hænder oppe, hurra, hurra: medium teint, medium teint
🙌🏾	begge hænder oppe, hurra, hurra: medium til mørk teint, medium til mørk teint
🙌🏿	begge hænder oppe, hurra, hurra: mørk teint, mørk teint
🤲🏻	bøn, håndflader samlet og løftet, håndflader samlet og løftet: lys teint, lys teint
🤲🏼	bøn, håndflader samlet og løftet, håndflader samlet og løftet: medium til lys teint, medium til lys teint
🤲🏽	bøn, håndflader samlet og løftet, håndflader samlet og løftet: medium teint, medium teint
🤲🏾	bøn, håndflader samlet og løftet, håndflader samlet og løftet: medium til mørk teint, medium til mørk teint
🤲🏿	bøn, håndflader samlet og løftet, håndflader samlet og løftet: mørk teint, mørk teint
🙏🏻	bøn, foldede hænder, foldede hænder: lys teint, lys teint
🙏🏼	bøn, foldede hænder, foldede hænder: medium til lys teint, medium til lys teint
🙏🏽	bøn, foldede hænder, foldede hænder: medium teint, medium teint
🙏🏾	bøn, foldede hænder, foldede hænder: medium til mørk teint, medium til mørk teint
🙏🏿	bøn, foldede hænder, foldede hænder: mørk teint, mørk teint
💅🏻	kosmetik, lys teint, manicure, negle, neglelak, neglelak: lys teint
💅🏼	kosmetik, manicure, medium til lys teint, negle, neglelak, neglelak: medium til lys teint
💅🏽	kosmetik, manicure, medium teint, negle, neglelak, neglelak: medium teint
💅🏾	kosmetik, manicure, medium til mørk teint, negle, neglelak, neglelak: medium til mørk teint
💅🏿	kosmetik, manicure, mørk teint, negle, neglelak, neglelak: mørk teint
👂🏻	høre, krop, lys teint, øre, øre: lys teint
👂🏼	høre, krop, medium til lys teint, øre, øre: medium til lys teint
👂🏽	høre, krop, medium teint, øre, øre: medium teint
👂🏾	høre, krop, medium til mørk teint, øre, øre: medium til mørk teint
👂🏿	høre, krop, mørk teint, øre, øre: mørk teint
👃🏻	dufte, krop, lugte ansigt, lys teint, næse, næse: lys teint
👃🏼	dufte, krop, lugte ansigt, medium til lys teint, næse, næse: medium til lys teint
👃🏽	dufte, krop, lugte ansigt, medium teint, næse, næse: medium teint
👃🏾	dufte, krop, lugte ansigt, medium til mørk teint, næse, næse: medium til mørk teint
👃🏿	dufte, krop, lugte ansigt, mørk teint, næse, næse: mørk teint
#⃣	keycap, keycap: #
*⃣	keycap, keycap: *
🔟	keycap, keycap: 10
🇦🇨	flag, flag: Ascensionøen
🇦🇩	flag, flag: Andorra
🇦🇪	flag, flag: De Forenede Arabiske Emirater
🇦🇫	flag, flag: Afghanistan
🇦🇬	flag, flag: Antigua og Barbuda
🇦🇮	flag, flag: Anguilla
🇦🇱	flag, flag: Albanien
🇦🇲	flag, flag: Armenien
🇦🇴	flag, flag: Angola
🇦🇶	flag, flag: Antarktis
🇦🇷	flag, flag: Argentina
🇦🇸	flag, flag: Amerikansk Samoa
🇦🇹	flag, flag: Østrig
🇦🇺	flag, flag: Australien
🇦🇼	flag, flag: Aruba
🇦🇽	flag, flag: Åland
🇦🇿	flag, flag: Aserbajdsjan
🇧🇦	flag, flag: Bosnien-Hercegovina
🇧🇧	flag, flag: Barbados
🇧🇩	flag, flag: Bangladesh
🇧🇪	flag, flag: Belgien
🇧🇫	flag, flag: Burkina Faso
🇧🇬	flag, flag: Bulgarien
🇧🇭	flag, flag: Bahrain
🇧🇮	flag, flag: Burundi
🇧🇯	flag, flag: Benin
🇧🇱	flag, flag: Saint Barthélemy
🇧🇲	flag, flag: Bermuda
🇧🇳	flag, flag: Brunei
🇧🇴	flag, flag: Bolivia
🇧🇶	flag, flag: De tidligere Nederlandske Antiller
🇧🇷	flag, flag: Brasilien
🇧🇸	flag, flag: Bahamas
🇧🇹	flag, flag: Bhutan
🇧🇻	flag, flag: Bouvetøen
🇧🇼	flag, flag: Botswana
🇧🇾	flag, flag: Hviderusland
🇧🇿	flag, flag: Belize
🇨🇦	flag, flag: Canada
🇨🇨	flag, flag: Cocosøerne
🇨🇩	flag, flag: Congo-Kinshasa
🇨🇫	flag, flag: Den Centralafrikanske Republik
🇨🇬	flag, flag: Congo-Brazzaville
🇨🇭	flag, flag: Schweiz
🇨🇮	flag, flag: Elfenbenskysten
🇨🇰	flag, flag: Cookøerne
🇨🇱	flag, flag: Chile
🇨🇲	flag, flag: Cameroun
🇨🇳	flag, flag: Kina
🇨🇴	flag, flag: Colombia
🇨🇵	flag, flag: Clippertonøen
🇨🇷	flag, flag: Costa Rica
🇨🇺	flag, flag: Cuba
🇨🇻	flag, flag: Kap Verde
🇨🇼	flag, flag: Curaçao
🇨🇽	flag, flag: Juleøen
🇨🇾	flag, flag: Cypern
🇨🇿	flag, flag: Tjekkiet
🇩🇪	flag, flag: Tyskland
🇩🇬	flag, flag: Diego Garcia
🇩🇯	flag, flag: Djibouti
🇩🇰	flag, flag: Danmark
🇩🇲	flag, flag: Dominica
🇩🇴	flag, flag: Den Dominikanske Republik
🇩🇿	flag, flag: Algeriet
🇪🇦	flag, flag: Ceuta og Melilla
🇪🇨	flag, flag: Ecuador
🇪🇪	flag, flag: Estland
🇪🇬	flag, flag: Egypten
🇪🇭	flag, flag: Vestsahara
🇪🇷	flag, flag: Eritrea
🇪🇸	flag, flag: Spanien
🇪🇹	flag, flag: Etiopien
🇪🇺	flag, flag: Den Europæiske Union
🇫🇮	flag, flag: Finland
🇫🇯	flag, flag: Fiji
🇫🇰	flag, flag: Falklandsøerne
🇫🇲	flag, flag: Mikronesien
🇫🇴	flag, flag: Færøerne
🇫🇷	flag, flag: Frankrig
🇬🇦	flag, flag: Gabon
🇬🇧	flag, flag: Storbritannien
🇬🇩	flag, flag: Grenada
🇬🇪	flag, flag: Georgien
🇬🇫	flag, flag: Fransk Guyana
🇬🇬	flag, flag: Guernsey
🇬🇭	flag, flag: Ghana
🇬🇮	flag, flag: Gibraltar
🇬🇱	flag, flag: Grønland
🇬🇲	flag, flag: Gambia
🇬🇳	flag, flag: Guinea
🇬🇵	flag, flag: Guadeloupe
🇬🇶	flag, flag: Ækvatorialguinea
🇬🇷	flag, flag: Grækenland
🇬🇸	flag, flag: South Georgia og De Sydlige Sandwichøer
🇬🇹	flag, flag: Guatemala
🇬🇺	flag, flag: Guam
🇬🇼	flag, flag: Guinea-Bissau
🇬🇾	flag, flag: Guyana
🇭🇰	flag, flag: SAR Hongkong
🇭🇲	flag, flag: Heard Island og McDonald Islands
🇭🇳	flag, flag: Honduras
🇭🇷	flag, flag: Kroatien
🇭🇹	flag, flag: Haiti
🇭🇺	flag, flag: Ungarn
🇮🇨	flag, flag: Kanariske øer
🇮🇩	flag, flag: Indonesien
🇮🇪	flag, flag: Irland
🇮🇱	flag, flag: Israel
🇮🇲	flag, flag: Isle of Man
🇮🇳	flag, flag: Indien
🇮🇴	flag, flag: Det britiske territorium i Det Indiske Ocean
🇮🇶	flag, flag: Irak
🇮🇷	flag, flag: Iran
🇮🇸	flag, flag: Island
🇮🇹	flag, flag: Italien
🇯🇪	flag, flag: Jersey
🇯🇲	flag, flag: Jamaica
🇯🇴	flag, flag: Jordan
🇯🇵	flag, flag: Japan
🇰🇪	flag, flag: Kenya
🇰🇬	flag, flag: Kirgisistan
🇰🇭	flag, flag: Cambodja
🇰🇮	flag, flag: Kiribati
🇰🇲	flag, flag: Comorerne
🇰🇳	flag, flag: Saint Kitts og Nevis
🇰🇵	flag, flag: Nordkorea
🇰🇷	flag, flag: Sydkorea
🇰🇼	flag, flag: Kuwait
🇰🇾	flag, flag: Caymanøerne
🇰🇿	flag, flag: Kasakhstan
🇱🇦	flag, flag: Laos
🇱🇧	flag, flag: Libanon
🇱🇨	flag, flag: Saint Lucia
🇱🇮	flag, flag: Liechtenstein
🇱🇰	flag, flag: Sri Lanka
🇱🇷	flag, flag: Liberia
🇱🇸	flag, flag: Lesotho
🇱🇹	flag, flag: Litauen
🇱🇺	flag, flag: Luxembourg
🇱🇻	flag, flag: Letland
🇱🇾	flag, flag: Libyen
🇲🇦	flag, flag: Marokko
🇲🇨	flag, flag: Monaco
🇲🇩	flag, flag: Moldova
🇲🇪	flag, flag: Montenegro
🇲🇫	flag, flag: Saint Martin
🇲🇬	flag, flag: Madagaskar
🇲🇭	flag, flag: Marshalløerne
🇲🇰	flag, flag: Makedonien
🇲🇱	flag, flag: Mali
🇲🇲	flag, flag: Myanmar (Burma)
🇲🇳	flag, flag: Mongoliet
🇲🇴	flag, flag: SAR Macao
🇲🇵	flag, flag: Nordmarianerne
🇲🇶	flag, flag: Martinique
🇲🇷	flag, flag: Mauretanien
🇲🇸	flag, flag: Montserrat
🇲🇹	flag, flag: Malta
🇲🇺	flag, flag: Mauritius
🇲🇻	flag, flag: Maldiverne
🇲🇼	flag, flag: Malawi
🇲🇽	flag, flag: Mexico
🇲🇾	flag, flag: Malaysia
🇲🇿	flag, flag: Mozambique
🇳🇦	flag, flag: Namibia
🇳🇨	flag, flag: Ny Kaledonien
🇳🇪	flag, flag: Niger
🇳🇫	flag, flag: Norfolk Island
🇳🇬	flag, flag: Nigeria
🇳🇮	flag, flag: Nicaragua
🇳🇱	flag, flag: Holland
🇳🇴	flag, flag: Norge
🇳🇵	flag, flag: Nepal
🇳🇷	flag, flag: Nauru
🇳🇺	flag, flag: Niue
🇳🇿	flag, flag: New Zealand
🇴🇲	flag, flag: Oman
🇵🇦	flag, flag: Panama
🇵🇪	flag, flag: Peru
🇵🇫	flag, flag: Fransk Polynesien
🇵🇬	flag, flag: Papua Ny Guinea
🇵🇭	flag, flag: Filippinerne
🇵🇰	flag, flag: Pakistan
🇵🇱	flag, flag: Polen
🇵🇲	flag, flag: Saint Pierre og Miquelon
🇵🇳	flag, flag: Pitcairn
🇵🇷	flag, flag: Puerto Rico
🇵🇸	flag, flag: De palæstinensiske områder
🇵🇹	flag, flag: Portugal
🇵🇼	flag, flag: Palau
🇵🇾	flag, flag: Paraguay
🇶🇦	flag, flag: Qatar
🇷🇪	flag, flag: Réunion
🇷🇴	flag, flag: Rumænien
🇷🇸	flag, flag: Serbien
🇷🇺	flag, flag: Rusland
🇷🇼	flag, flag: Rwanda
🇸🇦	flag, flag: Saudi-Arabien
🇸🇧	flag, flag: Salomonøerne
🇸🇨	flag, flag: Seychellerne
🇸🇩	flag, flag: Sudan
🇸🇪	flag, flag: Sverige
🇸🇬	flag, flag: Singapore
🇸🇭	flag, flag: St. Helena
🇸🇮	flag, flag: Slovenien
🇸🇯	flag, flag: Svalbard og Jan Mayen
🇸🇰	flag, flag: Slovakiet
🇸🇱	flag, flag: Sierra Leone
🇸🇲	flag, flag: San Marino
🇸🇳	flag, flag: Senegal
🇸🇴	flag, flag: Somalia
🇸🇷	flag, flag: Surinam
🇸🇸	flag, flag: Sydsudan
🇸🇹	flag, flag: São Tomé og Príncipe
🇸🇻	flag, flag: El Salvador
🇸🇽	flag, flag: Sint Maarten
🇸🇾	flag, flag: Syrien
🇸🇿	flag, flag: Swaziland
🇹🇦	flag, flag: Tristan da Cunha
🇹🇨	flag, flag: Turks- og Caicosøerne
🇹🇩	flag, flag: Tchad
🇹🇫	flag, flag: De franske besiddelser i Det Sydlige Indiske Ocean
🇹🇬	flag, flag: Togo
🇹🇭	flag, flag: Thailand
🇹🇯	flag, flag: Tadsjikistan
🇹🇰	flag, flag: Tokelau
🇹🇱	flag, flag: Timor-Leste
🇹🇲	flag, flag: Turkmenistan
🇹🇳	flag, flag: Tunesien
🇹🇴	flag, flag: Tonga
🇹🇷	flag, flag: Tyrkiet
🇹🇹	flag, flag: Trinidad og Tobago
🇹🇻	flag, flag: Tuvalu
🇹🇼	flag, flag: Taiwan
🇹🇿	flag, flag: Tanzania
🇺🇦	flag, flag: Ukraine
🇺🇬	flag, flag: Uganda
🇺🇲	flag, flag: Amerikanske oversøiske øer
🇺🇳	flag, flag: De Forenede Nationer
🇺🇸	flag, flag: USA
🇺🇾	flag, flag: Uruguay
🇺🇿	flag, flag: Usbekistan
🇻🇦	flag, flag: Vatikanstaten
🇻🇨	flag, flag: Saint Vincent og Grenadinerne
🇻🇪	flag, flag: Venezuela
🇻🇬	flag, flag: De Britiske Jomfruøer
🇻🇮	flag, flag: De Amerikanske Jomfruøer
🇻🇳	flag, flag: Vietnam
🇻🇺	flag, flag: Vanuatu
🇼🇫	flag, flag: Wallis og Futuna
🇼🇸	flag, flag: Samoa
🇽🇰	flag, flag: Kosovo
🇾🇪	flag, flag: Yemen
🇾🇹	flag, flag: Mayotte
🇿🇦	flag, flag: Sydafrika
🇿🇲	flag, flag: Zambia
🇿🇼	flag, flag: Zimbabwe
🏴󠁧󠁢󠁥󠁮󠁧󠁿	flag, flag: England
🏴󠁧󠁢󠁳󠁣󠁴󠁿	flag, flag: Skotland
🏴󠁧󠁢󠁷󠁬󠁳󠁿	flag, flag: Wales
0⃣	keycap, keycap: 0
1⃣	keycap, keycap: 1
2⃣	keycap, keycap: 2
3⃣	keycap, keycap: 3
4⃣	keycap, keycap: 4
5⃣	keycap, keycap: 5
6⃣	keycap, keycap: 6
7⃣	keycap, keycap: 7
8⃣	keycap, keycap: 8
9⃣	keycap, keycap: 9
