‾	барзиёд
🙅‍♀	даст, зан, зане, ки "НЕ" ишора карда истодааст, имову ишора, мамнуъ, манъшуда, не
🙅🏻‍♀	даст, зан, зане, ки "НЕ" ишора карда истодааст, зане, ки "НЕ" ишора карда истодааст: ранги равшани пӯст, имову ишора, мамнуъ, манъшуда, не, ранги равшани пӯст
🙅🏼‍♀	даст, зан, зане, ки "НЕ" ишора карда истодааст, зане, ки "НЕ" ишора карда истодааст: ранги равшании миёнаи пӯст, имову ишора, мамнуъ, манъшуда, не, ранги равшании миёнаи пӯст
🙅🏽‍♀	даст, зан, зане, ки "НЕ" ишора карда истодааст, зане, ки "НЕ" ишора карда истодааст: ранги миёнаи пӯст, имову ишора, мамнуъ, манъшуда, не, ранги миёнаи пӯст
🙅🏾‍♀	даст, зан, зане, ки "НЕ" ишора карда истодааст, зане, ки "НЕ" ишора карда истодааст: ранги торики миёнаи пӯст, имову ишора, мамнуъ, манъшуда, не, ранги торики миёнаи пӯст
🙅🏿‍♀	даст, зан, зане, ки "НЕ" ишора карда истодааст, зане, ки "НЕ" ишора карда истодааст: ранги торики пӯст, имову ишора, мамнуъ, манъшуда, не, ранги торики пӯст
🙆	ОК, даст, имову ишора, шахсе, ки "ОК" ишора карда истодааст
🙆🏻	ОК, даст, имову ишора, ранги равшани пӯст, шахсе, ки "ОК" ишора карда истодааст, шахсе, ки "ОК" ишора карда истодааст: ранги равшани пӯст
🙆🏼	ОК, даст, имову ишора, ранги равшании миёнаи пӯст, шахсе, ки "ОК" ишора карда истодааст, шахсе, ки "ОК" ишора карда истодааст: ранги равшании миёнаи пӯст
🙆🏽	ОК, даст, имову ишора, ранги миёнаи пӯст, шахсе, ки "ОК" ишора карда истодааст, шахсе, ки "ОК" ишора карда истодааст: ранги миёнаи пӯст
🙆🏾	ОК, даст, имову ишора, ранги торики миёнаи пӯст, шахсе, ки "ОК" ишора карда истодааст, шахсе, ки "ОК" ишора карда истодааст: ранги торики миёнаи пӯст
🙆🏿	ОК, даст, имову ишора, ранги торики пӯст, шахсе, ки "ОК" ишора карда истодааст, шахсе, ки "ОК" ишора карда истодааст: ранги торики пӯст
🙆‍♂	ОК, даст, имову ишора, мард, марде, ки "ОК" ишора карда истодааст
🙆🏻‍♂	ОК, даст, имову ишора, мард, марде, ки "ОК" ишора карда истодааст, марде, ки "ОК" ишора карда истодааст: ранги равшани пӯст, ранги равшани пӯст
🙆🏼‍♂	ОК, даст, имову ишора, мард, марде, ки "ОК" ишора карда истодааст, марде, ки "ОК" ишора карда истодааст: ранги равшании миёнаи пӯст, ранги равшании миёнаи пӯст
🙆🏽‍♂	ОК, даст, имову ишора, мард, марде, ки "ОК" ишора карда истодааст, марде, ки "ОК" ишора карда истодааст: ранги миёнаи пӯст, ранги миёнаи пӯст
🙆🏾‍♂	ОК, даст, имову ишора, мард, марде, ки "ОК" ишора карда истодааст, марде, ки "ОК" ишора карда истодааст: ранги торики миёнаи пӯст, ранги торики миёнаи пӯст
🙆🏿‍♂	ОК, даст, имову ишора, мард, марде, ки "ОК" ишора карда истодааст, марде, ки "ОК" ишора карда истодааст: ранги торики пӯст, ранги торики пӯст
🙆‍♀	ОК, даст, зан, зане, ки "ОК" ишора карда истодааст, имову ишора
🙆🏻‍♀	ОК, даст, зан, зане, ки "ОК" ишора карда истодааст, зане, ки "ОК" ишора карда истодааст: ранги равшани пӯст, имову ишора, ранги равшани пӯст
🙆🏼‍♀	ОК, даст, зан, зане, ки "ОК" ишора карда истодааст, зане, ки "ОК" ишора карда истодааст: ранги равшании миёнаи пӯст, имову ишора, ранги равшании миёнаи пӯст
🙆🏽‍♀	ОК, даст, зан, зане, ки "ОК" ишора карда истодааст, зане, ки "ОК" ишора карда истодааст: ранги миёнаи пӯст, имову ишора, ранги миёнаи пӯст
🙆🏾‍♀	ОК, даст, зан, зане, ки "ОК" ишора карда истодааст, зане, ки "ОК" ишора карда истодааст: ранги торики миёнаи пӯст, имову ишора, ранги торики миёнаи пӯст
🙆🏿‍♀	ОК, даст, зан, зане, ки "ОК" ишора карда истодааст, зане, ки "ОК" ишора карда истодааст: ранги торики пӯст, имову ишора, ранги торики пӯст
💁	густох, даст, кӯмак, маълумот, чаппакунӣ, шахсе, ки бо дасташ ишора карда истодааст
💁🏻	густох, даст, кӯмак, маълумот, ранги равшани пӯст, чаппакунӣ, шахсе, ки бо дасташ ишора карда истодааст, шахсе, ки бо дасташ ишора карда истодааст: ранги равшани пӯст
💁🏼	густох, даст, кӯмак, маълумот, ранги равшании миёнаи пӯст, чаппакунӣ, шахсе, ки бо дасташ ишора карда истодааст, шахсе, ки бо дасташ ишора карда истодааст: ранги равшании миёнаи пӯст
💁🏽	густох, даст, кӯмак, маълумот, ранги миёнаи пӯст, чаппакунӣ, шахсе, ки бо дасташ ишора карда истодааст, шахсе, ки бо дасташ ишора карда истодааст: ранги миёнаи пӯст
💁🏾	густох, даст, кӯмак, маълумот, ранги торики миёнаи пӯст, чаппакунӣ, шахсе, ки бо дасташ ишора карда истодааст, шахсе, ки бо дасташ ишора карда истодааст: ранги торики миёнаи пӯст
💁🏿	густох, даст, кӯмак, маълумот, ранги торики пӯст, чаппакунӣ, шахсе, ки бо дасташ ишора карда истодааст, шахсе, ки бо дасташ ишора карда истодааст: ранги торики пӯст
💁‍♂	густох, дасти ишоракунанда, мард, марде, ки бо дасташ ишора карда истодааст
💁🏻‍♂	густох, дасти ишоракунанда, мард, марде, ки бо дасташ ишора карда истодааст, марде, ки бо дасташ ишора карда истодааст: ранги равшани пӯст, ранги равшани пӯст
