‾	siqisqa, takay, vinculum
◝	hanaq pañapi muyusqa siqi
◞	uran pañapi muyusqa siqi
◟	uran lluqipi muyusqa siqi
◠	hanaqpi kuska muyu
◡	uranpi kuska muyu
◢	uran pañaman huntasqa kimsakuchu
◣	uran lluqiman huntasqa kimsakuchu
◤	hanaq lluqiman huntasqa kimsakuchu
◥	hanaq pañaman huntasqa kimsakuchu
◦	chusaq siqichana yupi
◯	hatun chusaq muyu, muyu, siwi
◳	chusaq tawakuchu hanaq pañaman
◷	chusaq muyu hanaq pañaman
◿	uran pachaman kimsakuchu
♪	pusaqñiqi, takiy, uchuy willakuy
⨧	yapana sullkapi iskay qillqasqa
⨯	vector mirana ruruwan
⨼	ukun ruru
⩣	logico utaq iskay warra uranpi
⩽	pisinman kikinwan
⪍	pisin hanaqpi kikinwan
⪚	iskay siqi kikin kuraqninwan
⪺	sami hanaqpi manaraq yaqa kikin
♭	bemol, panpa, takiy, uchuy willakuy
♯	agudu, diesis, dièse, takiy, uchuy willakuy
😀	kusi, kusisqa uya, uya
😃	kichay, kusi, kusisqa uya hatun ñawikunawan, simi, uya
😄	kichay, kusi, kusisqa uya kusisqa ñawikunawan, simi, uya, ñawi
😁	asiy, kancharisqa uya kusisqa ñawikunawan, kusi, kʼancharisqa uya kusisqa ñawikunawan, uya, ñawi
😆	asisqa, asiy, kusisqa uya wichqasqa ñawikunawan, munasqa, simi, uya
😅	asiy, chiri, kichay, kusisqa uya sutʼuwan, sutʼu, uya
🤣	hallpʼa, kusi, muyusqa, muyusqa kusi hallpʼapi, muyusqa kusi jallpʼapi, uya
😂	kusi, kusisqa, kusisqa uya wiqikunawan, uya, wiqi
🙂	kusi, pisi kusisqa uya, uya
🙃	tikrasqa, tikrasqa uya, uya
🫠	chinkachisqa, chinkachiy, chullusqa uya, chulluy, yaku
😉	chʼirmi, chʼirmi uya, chʼirmi ya, uya
😊	kusi, kusisqa uyata kusisqa ñawikunawan, pʼinqakuy, uya, ñawi
😇	angel, aureola, fantasia, juchannaq, kusisqa uya aureolawan, uya
🥰	kusisqa uya sunqukunawan, munanakuy, munasqa, munay, sunqukuna
😍	kusi, kusisqa uya sunqukunawan ñawikunapi, munay, uya, ñawi
🤩	kusisqa, quyllur, quyllur añasqa, uya, ñawikuna
😘	muchʼa, uya, uya chʼamqasqa huk muchʼata
😗	muchʼa, muchʼasqa uya, uya
☺️	chiqchisqa uya, kusi, kusisqa uya, samasqa, siqisqa, uya
😚	muchʼa, muchʼasqa uyata wichqasqa ñawikunawan, uya, wichqasqa, ñawi
😙	muchʼa, muchʼasqa uyata kusisqa ñawikunawan, uya, ñawi
🥲	apuskachaq, kusisqa, kusisqa uya wiqiwan, kusisqa uya wiwiwan, llamkasqa, pachi, wiqi
😋	kusi, mikhuchkan, mikhusqa mikhuna, miskʼi, mmm, uya, uya mikhusqa mikhuna
😛	qallu, uya, uya qalluwan
