🦵🏻	բաց գույնի մաշկ, հարվածել, ոտք, ոտք՝ բաց գույնի մաշկ, վերջույթ
👨🏾‍🌾	ագարակատեր, այգեգործ, գյուղացի, միջին մուգ գույնի մաշկ, տղամարդ ֆերմեր, տղամարդ ֆերմեր՝ միջին մուգ գույնի մաշկ, ֆերմեր
👨🏿‍🌾	ագարակատեր, այգեգործ, գյուղացի, մուգ գույնի մաշկ, տղամարդ ֆերմեր, տղամարդ ֆերմեր՝ մուգ գույնի մաշկ, ֆերմեր
👩🏻‍🌾	ագարակատեր, բաց գույնի մաշկ, գյուղացի, կին, կին ֆերմեր՝ բաց գույնի մաշկ, ֆերմեր
👩🏼‍🌾	ագարակատեր, գյուղացի, կին, կին ֆերմեր՝ միջին բաց գույնի մաշկ, միջին բաց գույնի մաշկ, ֆերմեր
👩🏽‍🌾	ագարակատեր, գյուղացի, կին, կին ֆերմեր՝ միջին գույնի մաշկ, միջին գույնի մաշկ, ֆերմեր
👩🏾‍🌾	ագարակատեր, գյուղացի, կին, կին ֆերմեր՝ միջին մուգ գույնի մաշկ, միջին մուգ գույնի մաշկ, ֆերմեր
👩🏿‍🌾	ագարակատեր, գյուղացի, կին, կին ֆերմեր՝ մուգ գույնի մաշկ, մուգ գույնի մաշկ, ֆերմեր
👨🏻‍🍳	բաց գույնի մաշկ, խոհարար, տղամարդ, տղամարդ խոհարար՝ բաց գույնի մաշկ
👨🏼‍🍳	խոհարար, միջին բաց գույնի մաշկ, տղամարդ, տղամարդ խոհարար՝ միջին բաց գույնի մաշկ
👨🏽‍🍳	խոհարար, միջին գույնի մաշկ, տղամարդ, տղամարդ խոհարար՝ միջին գույնի մաշկ
👨🏾‍🍳	խոհարար, միջին մուգ գույնի մաշկ, տղամարդ, տղամարդ խոհարար՝ միջին մուգ գույնի մաշկ
👨🏿‍🍳	խոհարար, մուգ գույնի մաշկ, տղամարդ, տղամարդ խոհարար՝ մուգ գույնի մաշկ
👩🏻‍🍳	բաց գույնի մաշկ, խոհարար, խոհարարուհի, խոհարարուհի՝ բաց գույնի մաշկ, կին
👩🏼‍🍳	խոհարար, խոհարարուհի, խոհարարուհի՝ միջին բաց գույնի մաշկ, կին, միջին բաց գույնի մաշկ
👩🏽‍🍳	խոհարար, խոհարարուհի, խոհարարուհի՝ միջին գույնի մաշկ, կին, միջին գույնի մաշկ
👩🏾‍🍳	խոհարար, խոհարարուհի, խոհարարուհի՝ միջին մուգ գույնի մաշկ, կին, միջին մուգ գույնի մաշկ
