🦵🏻	բաց գույնի մաշկ, հարվածել, ոտք, ոտք՝ բաց գույնի մաշկ, վերջույթ
🧝🏿	էլֆ, էլֆ՝ մուգ գույնի մաշկ, կախարդական, կախարդանք, հեքիաթ, մուգ գույնի մաշկ
🧝🏻‍♀	բաց գույնի մաշկ, կախարդական, կախարդանք, կին-էլֆ, կին-էլֆ՝ բաց գույնի մաշկ, հեքիաթ
🧝🏼‍♀	կախարդական, կախարդանք, կին-էլֆ, կին-էլֆ՝ միջին բաց գույնի մաշկ, հեքիաթ, միջին բաց գույնի մաշկ
🧝🏽‍♀	կախարդական, կախարդանք, կին-էլֆ, կին-էլֆ՝ միջին գույնի մաշկ, հեքիաթ, միջին գույնի մաշկ
🧝🏾‍♀	կախարդական, կախարդանք, կին-էլֆ, կին-էլֆ՝ միջին մուգ գույնի մաշկ, հեքիաթ, միջին մուգ գույնի մաշկ
🧝🏿‍♀	կախարդական, կախարդանք, կին-էլֆ, կին-էլֆ՝ մուգ գույնի մաշկ, հեքիաթ, մուգ գույնի մաշկ
🧝🏻‍♂	բաց գույնի մաշկ, կախարդական, հեքիաթ, տղամարդ-էլֆ, տղամարդ-էլֆ՝ բաց գույնի մաշկ
🧝🏼‍♂	կախարդական, հեքիաթ, միջին բաց գույնի մաշկ, տղամարդ-էլֆ, տղամարդ-էլֆ՝ միջին բաց գույնի մաշկ
🧝🏽‍♂	կախարդական, հեքիաթ, միջին գույնի մաշկ, տղամարդ-էլֆ, տղամարդ-էլֆ՝ միջին գույնի մաշկ
🧝🏾‍♂	կախարդական, հեքիաթ, միջին մուգ գույնի մաշկ, տղամարդ-էլֆ, տղամարդ-էլֆ՝ միջին մուգ գույնի մաշկ
🧝🏿‍♂	կախարդական, հեքիաթ, մուգ գույնի մաշկ, տղամարդ-էլֆ, տղամարդ-էլֆ՝ մուգ գույնի մաշկ
🙍🏻	բաց գույնի մաշկ, ժեստ, խոժոռված, խոժոռված դեմքով անձ, խոժոռված դեմքով անձ՝ բաց գույնի մաշկ
🙍🏼	ժեստ, խոժոռված, խոժոռված դեմքով անձ, խոժոռված դեմքով անձ՝ միջին բաց գույնի մաշկ, միջին բաց գույնի մաշկ
🙍🏽	ժեստ, խոժոռված, խոժոռված դեմքով անձ, խոժոռված դեմքով անձ՝ միջին գույնի մաշկ, միջին գույնի մաշկ
🙍🏾	ժեստ, խոժոռված, խոժոռված դեմքով անձ, խոժոռված դեմքով անձ՝ միջին մուգ գույնի մաշկ, միջին մուգ գույնի մաշկ
🙍🏿	ժեստ, խոժոռված, խոժոռված դեմքով անձ, խոժոռված դեմքով անձ՝ մուգ գույնի մաշկ, մուգ գույնի մաշկ
🙍🏻‍♂	բաց գույնի մաշկ, խոժոռված, խոժոռված տղամարդ՝ բաց գույնի մաշկ, մարդ, տղամարդ
🙍🏼‍♂	խոժոռված, խոժոռված տղամարդ՝ միջին բաց գույնի մաշկ, մարդ, միջին բաց գույնի մաշկ, տղամարդ
🙍🏽‍♂	խոժոռված, խոժոռված տղամարդ՝ միջին գույնի մաշկ, մարդ, միջին գույնի մաշկ, տղամարդ
🙍🏾‍♂	խոժոռված, խոժոռված տղամարդ՝ միջին մուգ գույնի մաշկ, մարդ, միջին մուգ գույնի մաշկ, տղամարդ
🙍🏿‍♂	խոժոռված, խոժոռված տղամարդ՝ մուգ գույնի մաշկ, մարդ, մուգ գույնի մաշկ, տղամարդ
🙍🏻‍♀	բաց գույնի մաշկ, խոժոռված, խոժոռված կին՝ բաց գույնի մաշկ, կին
🙍🏼‍♀	խոժոռված, խոժոռված կին՝ միջին բաց գույնի մաշկ, կին, միջին բաց գույնի մաշկ
🙍🏽‍♀	խոժոռված, խոժոռված կին՝ միջին գույնի մաշկ, կին, միջին գույնի մաշկ
🙍🏾‍♀	խոժոռված, խոժոռված կին՝ միջին մուգ գույնի մաշկ, կին, միջին մուգ գույնի մաշկ
🙍🏿‍♀	խոժոռված, խոժոռված կին՝ մուգ գույնի մաշկ, կին, մուգ գույնի մաշկ
🙎🏻	բաց գույնի մաշկ, դժգոհ, դժգոհ անձ, դժգոհ անձ՝ բաց գույնի մաշկ, ժեստ
🙎🏼	դժգոհ, դժգոհ անձ, դժգոհ անձ՝ միջին բաց գույնի մաշկ, ժեստ, միջին բաց գույնի մաշկ
🙎🏽	դժգոհ, դժգոհ անձ, դժգոհ անձ՝ միջին գույնի մաշկ, ժեստ, միջին գույնի մաշկ
🙎🏾	դժգոհ, դժգոհ անձ, դժգոհ անձ՝ միջին մուգ գույնի մաշկ, ժեստ, միջին մուգ գույնի մաշկ
🙎🏿	դժգոհ, դժգոհ անձ, դժգոհ անձ՝ մուգ գույնի մաշկ, ժեստ, մուգ գույնի մաշկ
🙎🏻‍♂	բաց գույնի մաշկ, խռոված, խռոված տղամարդ՝ բաց գույնի մաշկ, մարդ, տղամարդ
🙎🏼‍♂	խռոված, խռոված տղամարդ՝ միջին բաց գույնի մաշկ, մարդ, միջին բաց գույնի մաշկ, տղամարդ
🙎🏽‍♂	խռոված, խռոված տղամարդ՝ միջին գույնի մաշկ, մարդ, միջին գույնի մաշկ, տղամարդ
🙎🏾‍♂	խռոված, խռոված տղամարդ՝ միջին մուգ գույնի մաշկ, մարդ, միջին մուգ գույնի մաշկ, տղամարդ
🙎🏿‍♂	խռոված, խռոված տղամարդ՝ մուգ գույնի մաշկ, մարդ, մուգ գույնի մաշկ, տղամարդ
🙎🏻‍♀	բաց գույնի մաշկ, խռոված, խռոված կին՝ բաց գույնի մաշկ, կին
🙎🏼‍♀	խռոված, խռոված կին՝ միջին բաց գույնի մաշկ, կին, միջին բաց գույնի մաշկ
🙎🏽‍♀	խռոված, խռոված կին՝ միջին գույնի մաշկ, կին, միջին գույնի մաշկ
🙎🏾‍♀	խռոված, խռոված կին՝ միջին մուգ գույնի մաշկ, կին, միջին մուգ գույնի մաշկ
🙎🏿‍♀	խռոված, խռոված կին՝ մուգ գույնի մաշկ, կին, մուգ գույնի մաշկ
🙅🏻	արգելված, բաց գույնի մաշկ, ժեստ, ձեռք, ոչ, ոչ ցույց տվող, ոչ ցույց տվող՝ բաց գույնի մաշկ
🙅🏼	արգելված, ժեստ, ձեռք, միջին բաց գույնի մաշկ, ոչ, ոչ ցույց տվող, ոչ ցույց տվող՝ միջին բաց գույնի մաշկ
🙅🏽	արգելված, ժեստ, ձեռք, միջին գույնի մաշկ, ոչ, ոչ ցույց տվող, ոչ ցույց տվող՝ միջին գույնի մաշկ
🙅🏾	արգելված, ժեստ, ձեռք, միջին մուգ գույնի մաշկ, ոչ, ոչ ցույց տվող, ոչ ցույց տվող՝ միջին մուգ գույնի մաշկ
🙅🏿	արգելված, ժեստ, ձեռք, մուգ գույնի մաշկ, ոչ, ոչ ցույց տվող, ոչ ցույց տվող՝ մուգ գույնի մաշկ
🙅🏻‍♂	արգելված, բաց գույնի մաշկ, դեմ, ժեստ, տղամարդ, տղամարդը դեմ է, տղամարդը դեմ է՝ բաց գույնի մաշկ
🙅🏼‍♂	արգելված, դեմ, ժեստ, միջին բաց գույնի մաշկ, տղամարդ, տղամարդը դեմ է, տղամարդը դեմ է՝ միջին բաց գույնի մաշկ
🙅🏽‍♂	արգելված, դեմ, ժեստ, միջին գույնի մաշկ, տղամարդ, տղամարդը դեմ է, տղամարդը դեմ է՝ միջին գույնի մաշկ
🙅🏾‍♂	արգելված, դեմ, ժեստ, միջին մուգ գույնի մաշկ, տղամարդ, տղամարդը դեմ է, տղամարդը դեմ է՝ միջին մուգ գույնի մաշկ
🙅🏿‍♂	արգելված, դեմ, ժեստ, մուգ գույնի մաշկ, տղամարդ, տղամարդը դեմ է, տղամարդը դեմ է՝ մուգ գույնի մաշկ
🙅🏻‍♀	արգելված, բաց գույնի մաշկ, դեմ, ժեստ, կին, կինը դեմ է, կինը դեմ է՝ բաց գույնի մաշկ
🙅🏼‍♀	արգելված, դեմ, ժեստ, կին, կինը դեմ է, կինը դեմ է՝ միջին բաց գույնի մաշկ, միջին բաց գույնի մաշկ
🙅🏽‍♀	արգելված, դեմ, ժեստ, կին, կինը դեմ է, կինը դեմ է՝ միջին գույնի մաշկ, միջին գույնի մաշկ
🙅🏾‍♀	արգելված, դեմ, ժեստ, կին, կինը դեմ է, կինը դեմ է՝ միջին մուգ գույնի մաշկ, միջին մուգ գույնի մաշկ
🙅🏿‍♀	արգելված, դեմ, ժեստ, կին, կինը դեմ է, կինը դեմ է՝ մուգ գույնի մաշկ, մուգ գույնի մաշկ
🙆🏻	ok, ok ցույց տվող, ok ցույց տվող՝ բաց գույնի մաշկ, բաց գույնի մաշկ, ժեստ, ձեռք
🙆🏼	ok, ok ցույց տվող, ok ցույց տվող՝ միջին բաց գույնի մաշկ, ժեստ, ձեռք, միջին բաց գույնի մաշկ
🙆🏽	ok, ok ցույց տվող, ok ցույց տվող՝ միջին գույնի մաշկ, ժեստ, ձեռք, միջին գույնի մաշկ
🙆🏾	ok, ok ցույց տվող, ok ցույց տվող՝ միջին մուգ գույնի մաշկ, ժեստ, ձեռք, միջին մուգ գույնի մաշկ
🙆🏿	ok, ok ցույց տվող, ok ցույց տվող՝ մուգ գույնի մաշկ, ժեստ, ձեռք, մուգ գույնի մաշկ
🙆🏻‍♂	բաց գույնի մաշկ, ժեստ, կողմ, ձեռք, տղամարդ, տղամարդը կողմ է, տղամարդը կողմ է՝ բաց գույնի մաշկ
🙆🏼‍♂	ժեստ, կողմ, ձեռք, միջին բաց գույնի մաշկ, տղամարդ, տղամարդը կողմ է, տղամարդը կողմ է՝ միջին բաց գույնի մաշկ
🙆🏽‍♂	ժեստ, կողմ, ձեռք, միջին գույնի մաշկ, տղամարդ, տղամարդը կողմ է, տղամարդը կողմ է՝ միջին գույնի մաշկ
🙆🏾‍♂	ժեստ, կողմ, ձեռք, միջին մուգ գույնի մաշկ, տղամարդ, տղամարդը կողմ է, տղամարդը կողմ է՝ միջին մուգ գույնի մաշկ
🙆🏿‍♂	ժեստ, կողմ, ձեռք, մուգ գույնի մաշկ, տղամարդ, տղամարդը կողմ է, տղամարդը կողմ է՝ մուգ գույնի մաշկ
🙆🏻‍♀	բաց գույնի մաշկ, ժեստ, կին, կինը կողմ է, կինը կողմ է՝ բաց գույնի մաշկ, կողմ, ձեռք
🙆🏼‍♀	ժեստ, կին, կինը կողմ է, կինը կողմ է՝ միջին բաց գույնի մաշկ, կողմ, ձեռք, միջին բաց գույնի մաշկ
🙆🏽‍♀	ժեստ, կին, կինը կողմ է, կինը կողմ է՝ միջին գույնի մաշկ, կողմ, ձեռք, միջին գույնի մաշկ
🙆🏾‍♀	ժեստ, կին, կինը կողմ է, կինը կողմ է՝ միջին մուգ գույնի մաշկ, կողմ, ձեռք, միջին մուգ գույնի մաշկ
🙆🏿‍♀	ժեստ, կին, կինը կողմ է, կինը կողմ է՝ մուգ գույնի մաշկ, կողմ, ձեռք, մուգ գույնի մաշկ
💁🏻	բաց գույնի մաշկ, հանդուգն, ձեռք, տեղեկատու բյուրոյի աշխատող, տեղեկատու բյուրոյի աշխատող՝ բաց գույնի մաշկ, տեղեկատվություն, օգնել
💁🏼	հանդուգն, ձեռք, միջին բաց գույնի մաշկ, տեղեկատու բյուրոյի աշխատող, տեղեկատու բյուրոյի աշխատող՝ միջին բաց գույնի մաշկ, տեղեկատվություն, օգնել
💁🏽	հանդուգն, ձեռք, միջին գույնի մաշկ, տեղեկատու բյուրոյի աշխատող, տեղեկատու բյուրոյի աշխատող՝ միջին գույնի մաշկ, տեղեկատվություն, օգնել
💁🏾	հանդուգն, ձեռք, միջին մուգ գույնի մաշկ, տեղեկատու բյուրոյի աշխատող, տեղեկատու բյուրոյի աշխատող՝ միջին մուգ գույնի մաշկ, տեղեկատվություն, օգնել
💁🏿	հանդուգն, ձեռք, մուգ գույնի մաշկ, տեղեկատու բյուրոյի աշխատող, տեղեկատու բյուրոյի աշխատող՝ մուգ գույնի մաշկ, տեղեկատվություն, օգնել
💁🏻‍♂	բաց գույնի մաշկ, հանդուգն, տղամարդ, տղամարդը բացում է իր մտադրությունները, տղամարդը բացում է իր մտադրությունները՝ բաց գույնի մաշկ
💁🏼‍♂	հանդուգն, միջին բաց գույնի մաշկ, տղամարդ, տղամարդը բացում է իր մտադրությունները, տղամարդը բացում է իր մտադրությունները՝ միջին բաց գույնի մաշկ
💁🏽‍♂	հանդուգն, միջին գույնի մաշկ, տղամարդ, տղամարդը բացում է իր մտադրությունները, տղամարդը բացում է իր մտադրությունները՝ միջին գույնի մաշկ
