👩🏿‍🔬	hudtype 6, kjemi, kvinne, kvinnelig forsker, kvinnelig forsker: hudtype 6, laboratorium, vitenskap
👨🏻‍💻	IT, data, hudtype 1–2, mann, mannlig IT-ekspert, mannlig IT-ekspert: hudtype 1–2, teknologi
👨🏼‍💻	IT, data, hudtype 3, mann, mannlig IT-ekspert, mannlig IT-ekspert: hudtype 3, teknologi
👨🏽‍💻	IT, data, hudtype 4, mann, mannlig IT-ekspert, mannlig IT-ekspert: hudtype 4, teknologi
👨🏾‍💻	IT, data, hudtype 5, mann, mannlig IT-ekspert, mannlig IT-ekspert: hudtype 5, teknologi
👨🏿‍💻	IT, data, hudtype 6, mann, mannlig IT-ekspert, mannlig IT-ekspert: hudtype 6, teknologi
👩🏻‍💻	IT, data, hudtype 1–2, kvinne, kvinnelig IT-ekspert, kvinnelig IT-ekspert: hudtype 1–2, teknologi
👩🏼‍💻	IT, data, hudtype 3, kvinne, kvinnelig IT-ekspert, kvinnelig IT-ekspert: hudtype 3, teknologi
👩🏽‍💻	IT, data, hudtype 4, kvinne, kvinnelig IT-ekspert, kvinnelig IT-ekspert: hudtype 4, teknologi
👩🏾‍💻	IT, data, hudtype 5, kvinne, kvinnelig IT-ekspert, kvinnelig IT-ekspert: hudtype 5, teknologi
👩🏿‍💻	IT, data, hudtype 6, kvinne, kvinnelig IT-ekspert, kvinnelig IT-ekspert: hudtype 6, teknologi
👨🏻‍🎤	artist, hudtype 1–2, konsert, mann, mannlig artist, mannlig artist: hudtype 1–2, sanger
👨🏼‍🎤	artist, hudtype 3, konsert, mann, mannlig artist, mannlig artist: hudtype 3, sanger
👨🏽‍🎤	artist, hudtype 4, konsert, mann, mannlig artist, mannlig artist: hudtype 4, sanger
👨🏾‍🎤	artist, hudtype 5, konsert, mann, mannlig artist, mannlig artist: hudtype 5, sanger
👨🏿‍🎤	artist, hudtype 6, konsert, mann, mannlig artist, mannlig artist: hudtype 6, sanger
👩🏻‍🎤	artist, hudtype 1–2, konsert, kvinne, kvinnelig artist, kvinnelig artist: hudtype 1–2, sangerinne
👩🏼‍🎤	artist, hudtype 3, konsert, kvinne, kvinnelig artist, kvinnelig artist: hudtype 3, sangerinne
👩🏽‍🎤	artist, hudtype 4, konsert, kvinne, kvinnelig artist, kvinnelig artist: hudtype 4, sangerinne
👩🏾‍🎤	artist, hudtype 5, konsert, kvinne, kvinnelig artist, kvinnelig artist: hudtype 5, sangerinne
👩🏿‍🎤	artist, hudtype 6, konsert, kvinne, kvinnelig artist, kvinnelig artist: hudtype 6, sangerinne
